"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1096","Private","The Dhamma Dipa International Buddhist University","P.O. Bishnupur, Manu Bankul, Sabroom, South Tripura","799145","Tripura","2(f)"
"1097","State","THe Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University","Kadwad, Nagaur Highway Road, Jodhpur,","342037","Rajasthan","2(f)"
"1098","Deemed to be Universities","The Gandhiigram Rural Institute","Gandhigram, Dindigul District, Chinnalapatti","624302","Tamil Nadu","Section-III & 12(B)"
"1099","Private","The Global Open University","Sodzulhou Village, PO-ARTC, NH-39, Dimapur, NagalandSodzulhou Village, PO-ARTCNH-29, Dimapur","797115","Nagaland","2(f)"
"1100","Private","The Global University","Model Village NaharlagunItanagarArunachal Pradesh - 791110","791111","Arunachal Pradesh","2(f)"
"1101","Private","The Glocal University","Delhi Yamunotri Marg, State Highway 57, Mirzapur Pole, District Saharanpur, Uttar PradeshMirzapur Pole, SaharanpurUttar Pradesh","247121","Uttar Pradesh","2(f) & 12(B)"
"1102","Private","The ICFAI University","Agartala -Simna Road,PO: Kamalghat,West Tripura","799210","Tripura","2(f)"
"1103","Private","The ICFAI University","The ICFAI University, Dehradun Rajawala Road, Central Hope Town, Selaqui, Dehradun , UttarakhandSelaqui,Dehradun","248011","Uttarakhand","2(f)"
"1104","Private","The ICFAI University Sikkim","(ICFAI), Sikkim, Ranka Road, Lower Sichey, Gangtok","737101","Sikkim","2(f)"
"1105","Central","The Indira Gandhi National Tribal University","Makal Sadan,Amarkantak, Village-Lalpur,Dist-Anuppur","484887","Madhya Pradesh","2(f) & 12(B)"
"1106","Private","The Institute of Chartered Financial Analysts of India University","Durtlang North, AizawlMizoram","796015","Mizoram","2(f)"
"1107","Private","The Institute of Chartered Financial Analysts of India University","Phawa Ville, Dhankheti Circular Rd,Tura BazarShillong","793001","Meghalaya","2(f)"
"1108","Private","The Institute of Chartered Financial Analysts of India University","Plot No. 2065, Daladali Chowk, Simalia, Near Ring Road, Ranchi-835222, JharkhandRanchi","835222","Jharkhand","2(f)"
"1109","Deemed to be Universities","The LNM Institute of Information Technology","Gram-Rupa ki Nangal, Post-Sumel, District:-Jaipur","302031","Rajasthan","Section-III"
"1110","State","The Maharaja Bhupinder Singh Punjab Sports University","Mohindra Kothi, Near Fountain Chowk, Patiala","147001","Punjab","2(f)"
"1111","State","The National Law University of Meghalaya","Mayurbhanj Complex, Nongthymmai, Shillong","793014","Meghalaya","2(f)"
"1112","Private","The Neotia University","Jhinga, Sarisa,D.H.Road24 Parganas(S)","743368","West Bengal","2(f)"
"1113","Private","The Northcap University ( Formerly ITM University)","The NothCap University, Sector 23A, Gurugram","122017","Haryana","2(f) & 12(B)"
"1114","State","The Rajiv Gandhi National University of Law","Sidhuwal, Bhadson Road, Patiala","147006","Punjab","2(f) & 12(B)"
"1115","State","The Sanskrit College and University","Bankim Chaterjee StreetKolkata","700073","West Bengal","2(f)"
"1116","Private","The SVKM NMIMS Global University","S.No. 499/1 to 4-A/1 and 499/1 to 4-A/2, Behind Gurudwara, Mumbai-Agra Highway, Taluka Dhule, District-Dhule","424001","Maharashtra","2(f)"
"1117","State","The Tamil Nadu Dr.J Jayalalithaa Music and Fine Arts University","Dr. D.G.S. Dinakaran SalaiChennai","600028","Tamil Nadu","2(f)"
"1118","Private","The University of Trans-Disciplinary Health Sciences and Technology","74/2, Jarakabande Kaval,Yelahanka, Via Attur PostBanglore","560064","Karnataka","2(f)"
"1119","State","The West Bengal National University of Juridical Science","Aranya Bhavan,10A LA Blk.,S.L City,Calcutta","","West Bengal","2(f) & 12(B)"
"1120","State","The West Bengal University of Health Sciences","DD-36, Secotor-1 Salt LakeKolkata","700064","West Bengal","2(f) & 12(B)"
"1121","State","Thiruvalluvar University","Serkkadu, VelloreVellore DistrictTamil Nadu","632 115","Tamil Nadu","2(f) & 12(B)"
"1122","State","Thunchath Ezhuthachan Malayalam University","Vakad po, Vakad, Tirur, Malappuram DistrictVakkad PO,  Tirur,Malappuram","676502","Kerala","2(f) & 12(B)"
"1123","Deemed to be Universities","Tilak Maharashtra Vidyapeeth","Vidyapeeth Bhavan, Mukundnagar, Gultekdi, Pune","411037","Maharashtra","Section-III"
"1124","Private","Transstadia University","Opposite Kankaria Gate No.-3KankariaAhmedabad","380022","Gujarat","2(f)"
"1125","Central","Tripura University","NH8, University RdSuryamani Nagar,Agartala","799130","Tripura","2(f) & 12(B)"
"1126","State","Tumkur University","Tumkur University B H Road, Tumkur, Karnataka, IndiaB.H. Road, Tumkur","572103","Karnataka","2(f) & 12(B)"
"1127","State","U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan","College of Veterinary Science and Animal Husbandry, DUVASU, MathuraUttar Pradesh","281001","Uttar Pradesh","2(f)"
"1128","State","U.P. Rajarshi Tandon Open University","Shantipuram (Sector-F), Phaphamau, Prayagraj, Uttar Pradesh.(Sector-F)PhaphamauAllahabad-211013","211013","Uttar Pradesh","2(f) & 12(B)"
"1129","State","U.P.King George's University of Dental Sciences","Lucknow","","Uttar Pradesh","2(f)"
"1130","Private","UKA Tarsadia University","Maliba Campus, Gopal Vidyanagar Baroli-Mahuva Road Dist. Surat, Gujarat","394 350","Gujarat","2(f)"
"1131","Private","United University","Rawatpur, Prayagraj","211012","Uttar Pradesh","2(f)"
"1132","Private","Universal Ai University","Village Kushival, Kushinili, Taluka Karjat","410021","Maharashtra","2(f)"
"1133","State","University of Agricultural Sciences","Lingasuguru Road,Raichur","584104","Karnataka","2(f) & 12(B)"
"1134","State","University of Agricultural Sciences Banglore","GKVK -Campus,Bangalore","560 024","Karnataka","2(f) & 12(B)"
"1135","State","University of Agricultural Sciences Dharwad","University of Agricultural Sciences, Dharwad (Karnataka)Dharwad","580005","Karnataka","2(f) & 12(B)"
"1136","Central","University of Allahabad","Senate House,University Road,Old Katra, Prayagraj","211002","Uttar Pradesh","2(f) & 12(B)"
"1137","Central","University of Delhi","North Delhi Campus,Near Mall Road","110007","Delhi","2(f) & 12(B)"
"1138","Private","University of Engineering & Management","Jaipur, Rajasthan","","Rajasthan","2(f)"
"1139","Private","University of Engineering and Management","UNIVERSITY AREA, PLOT NO. III – B/5, NEW TOWN, ACTION AREA – III, KOLKATA – 700 160, KOLKATA, KOLKATA, West Bengal, 700160Main Arterial Road (East-West),New town, Action Area-III, Kolkata","700160","West Bengal","2(f)"
"1140","State","University of Gour Banga","Post Office - Mokdumpur, District - Malda,  West Bengal, Pin Code - 732103Distt. Malda","732103","West Bengal","2(f) & 12(B)"
"1141","State","University of Horticultural Sciences","NEAR SEMIKERI CROSS, UDYANAGIRI, NAVANAGAR, BAGALKOTNear Seemikeri Cross,Bagalkot","587104","Karnataka","2(f)"
"1142","Central","University of Hyderabad","P.O. Central University Campus, PROFESSOR C.R. RAO RAOD, GACHIBOWLI,Hyderabad","500046","Telangana","2(f) & 12(B)"
"1143","State","University of Kota","Swami Vivekananda Nagar, Kota","324005","Rajasthan","2(f) & 12(B)"
"1144","State","University of Ladakh","Melongthang, Leh-Ladakh near FRL, Leh","194101","Ladakh","2(f)"
"1145","State","University of Lucknow","Babuganj,Hasanganj,Lucknow","226007","Uttar Pradesh","2(f) & 12(B)"
"1146","State","University of North Bengal","PO: North Bengal University, Dist: Darjeeling, West BengalPO North Bengal University,District Darjeeling","734013","West Bengal","2(f) & 12(B)"
"1147","Private","University of Patanjali","Mahrish Dayanad Gram,Delhi HaridwarNational Highway, Near BahadrabadHaridwar","","Uttarakhand","2(f)"
"1148","Private","University of Petroleum and Energy Studies","Energy Acres Bidholi Via Prem Nagar, Dehradun, UttarakhandDehradun","248007","Uttarakhand","2(f)"
"1149","Private","University of Science & Technology, Meghalaya","Techno City,Kling Road 9th Mile, BariduaDist. Ri-Bhoi","793101","Meghalaya","2(f)"
"1150","Private","University of Technology","Vatika,Tehsil-Sanganer,Jaipur","","Rajasthan","2(f)"
"1151","State","University of Visvesvaraya College of Engineering","K. R. Circle, Dr Ambedkar Veedhi, Bengaluru","560001","Karnataka","2(f)"
"1152","Private","UPL University of Sustainable Technology","Block No. 402, At & PO, Vataria, Taluka Valia,District Bharuch","","Gujarat","2(f)"
"1153","Private","Usha Martin University","Ranchi Purulia Road, Vill.- Narayan Soso, Nera Angara Block Office, Anagar, Ranchi, JharkhandRanchi Khunti Road,NH-75, Ranchi","835103","Jharkhand","2(f)"
"1154","State","Utkal University","Vani Vihar, Bhubaneshwar","751 004","Odisha","2(f) & 12(B)"
"1155","State","Utkal University of Culture","SANSKRUTI VIHAR, MADANPUR, Bhubaneswar","752054","Odisha","2(f)"
"1156","State","Uttar Banga Krishi Vishwavidyalaya","P.O. Pundibari, Dist. Coochbehar, PIN- 736165Cooch Behar, West Bengal-736165","736165","West Bengal","2(f)"
"1157","State","Uttar Pradesh University of Medical Sciences","Saifai,Etawah","206130","Uttar Pradesh","2(f)"
"1158","State","Uttarakhand Ayurved University","Railway Road, Harrawala, DehradunRajpur RoadDehradun","248001","Uttarakhand","2(f)"
"1159","State","Uttarakhand Open University","Teenpani Bypass, Rampur Road, HaldwaniPost Office:- Industrial EstateHaldwani (Nainital)","263139","Uttarakhand","2(f)"
"1160","State","Uttarakhand Sanskrit University","NH-58, BHEL More,  Haridwar-Delhi National Highway,P.O. BahadarabadHaridwar","249 402","Uttarakhand","2(f) & 12(B)"
"1161","State","Uttarakhand Technical University","Uttarakhand Technical University,Suddhowal post office chandan wadi,dehradun Uttarkhandwala, Dehrdun","248007","Uttarakhand","2(f)"
"1162","Private","Uttaranchal University","Arcadia GrantP.O. ChandanwariPrem Nagar, Dehradun","248007","Uttarakhand","2(f) & 12(B)"
"1163","Private","Vanita Vishram Women's University","Jawaharlal Nehru Marg,  Athwa Gate, Surat","395001","Gujarat","2(f)"
"1164","State","Vardhman Mahaveer Open University","Rawatbhata Road, KotaRAJASTHAN","324021","Rajasthan","2(f) & 12(B)"
"1165","Private","Varun Arjun University","NH-24, Banthra, Dist. Shahjahanpur","242307","Uttar Pradesh","2(f)"
"1166","State","Veer Bahadur Singh Purvanchal University","Shahganj Road, JaunpurPIN-222002   (U.P.)","","Uttar Pradesh","2(f) & 12(B)"
"1167","State","Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry","VCSG Uttarakhand University of Horticulture & Forestry, Bharsar, Pauri Garhwal , UttarakhandUttrakhand","246123","Uttarakhand","2(f)"
"1168","State","Veer Kunwar Singh University","Ara","802301","Bihar","2(f) & 12(B)"
"1169","State","Veer Narmad South Gujarat University","Udhna-Magdalla Road, Surat","395007","Gujarat","2(f) & 12(B)"
"1170","State","Veer Surendra Sai Institute of Medical Science and Research","Ayuvihar, Burla, Sambalpur","768017","Odisha","2(f) & 12(B)"
"1171","State","Veer Surendra Sai University of Technology","Siddhi Vihar, Burla,  Dist. Sambalpur","768018","Odisha","2(f) & 12(B)"
"1172","State","Veeranari Chakali Ilamma Women's University","Koti, Hyderabad","500095","Telangana","2(f)"
"1173","Deemed to be Universities","Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology","Avadi-Vel Tech Road, Avadi, Chennai","600062","Tamil Nadu","Section-III"
"1174","Deemed to be Universities","Vellore Institute of Technology","Tiruvalam Rd, Katpadi, Vellore","632014","Tamil Nadu","Section-III"
"1175","Deemed to be Universities","VELS Institute of Science Technology & Advanced Studies (VISTAS)","Velan Nagar, Pallavaram, Chennai","600117","Tamil Nadu","Section-III"
"1176","Private","Venkateshwara Open University","Lekhi Village, Naharlagun, Distt. Papum Pare","791110","Arunachal Pradesh","2(f)"
"1177","State","Vesveswaraiah Technological University","Jnana Sangama,Belgaum","590018","Karnataka","2(f) & 12(B)"
"1178","Private","Vidhyadeep University","Anita (Kim), Tal Olpad, District Surat","394110","Gujarat","2(f)"
"1179","State","Vidya Sagar University","PO. -Vidyasagar UniversityMidnapore-721102,Dist.-paschim Mediripur, (W.B.)","","West Bengal","2(f) & 12(B)"
"1180","Private","Vidya University","Vidya Knowledge Park, Baghpat Road, Meerut NCR","250002","Uttar Pradesh","2(f)"
"1181","Private","Vidyashilp University","No. 125, Bettenahalli,Kundana Hobli, Chapparkallu Road,Bengaluru","562110","Karnataka","2(f)"
"1182","Deemed to be Universities","Vignan's Foundation for Science, Technology and Research","Vadlamudi, Guntur","522213","Andhra Pradesh","Section-III & 12(B)"
"1183","State","Vijayanagara Sri Krishnadevaraya University","BallariVinayaka Nagar,Contonment,Bellary","583105","Karnataka","2(f) & 12(B)"
"1184","Private","Vijaybhoomi University","CAMPUS : VILLAGE JAMRUNG, TEHSIL KARJAT, DISTRICT RAIGAD, MAHARASHTRATaluka Karjat,Dist Raigad","410201","Maharashtra","2(f)"
"1185","State","Vikram University","Ujjain,","456 010","Madhya Pradesh","2(f) & 12(B)"
"1186","State","Vikrama Simhapuri University","kakutur,Venkatachalam (M.D.),Nellore","524324","Andhra Pradesh","2(f) & 12(B)"
"1187","Private","Vikrant University","Village- Ratwai,Chitora RoadBada GaonMorar","474009","Madhya Pradesh","2(f)"
"1188","Deemed to be Universities","Vinayaka Mission’s Research Foundation","NH47, Sankari Main Road, Salem","636308","Tamil Nadu","Section-III"
"1189","State","Vinoba Bhave University","Hazaribagh,PIN - 825 301. (JHARKHAND)Post Box No.-31","","Jharkhand","2(f) & 12(B)"
"1190","State","Vishvakarma Skills University","Jawahar Lal Nehru Marg, Mahesh Nagar Phatak, Tilak Nagar, Jaipur","302015","Rajasthan","2(f)"
"1191","Private","Vishwakarma University","Survey No 2,3,4 Laxminagar, Kondhwa (Bk.) Pune Laxmi NagarKondhwa Budruk, Pune","411048","Maharashtra","2(f)"
"1192","Central","Visva Bharati","PO : Santiniketan,Birbhum","731235","West Bengal","2(f) & 12(B)"
"1193","Private","VIT Bhopal University","Bhopal-Indore Highway, Kothrikalan, SehoreKothrikalan, Sehore,Bhopal","466114","Madhya Pradesh","2(f)"
"1194","Private","VIT-AP University","Ainavolu Village, Thullur Mandalam, Amaravati, Guntur","522237","Andhra Pradesh","2(f)"
"1195","Private","Vivek University","Moradabad Road, Bijnor UP","246701","Uttar Pradesh","2(f)"
"1196","Private","Vivekananda Global University","Sector 36, Sisyawas, NRI RoadJagatpura Jaipur","303 012","Rajasthan","2(f)"
"1197","State","West Bengal State University","Berunanpukuria,Malikapur,Barasat, 24 Parganas(North),Kolkata - 700126Building 10knc, Kolkata-700124","700126","West Bengal","2(f) & 12(B)"
"1198","State","West Bengal University of Animal and Fishery Sciences","37 & 68, ksudiram Bose Sarani, Kolkata-700037","700037","West Bengal","2(f) & 12(B)"
"1199","State","West Bengal University of Teachers, Training, Education Planning and Administration","25/2 & 25/3, Ballygunge Circular RoadKolkata","700019","West Bengal","2(f)"
"1200","Private","William Carey University","Nongmensong, Umkdait, Near Border Roads Organisatio, Shillong - 793019, Meghalaya - IndiaUmkdait,Shillong","793019","Meghalaya","2(f)"
"1201","Private","World University Of Design","Plot no 1, Rajiv Gandhi Education City, Rai, Sonepat, Haryana","131029","Haryana","2(f)"
"1202","Private","Woxsen University","Woxsen Campus,Kamkole,Sadasivpet, Medak District","","Telangana","2(f)"
"1203","Private","XIM university","Plot No:12(A) Nijigada Kurki  Harirajpur  Dist-Puri Odisha, India","752050","Odisha","2(f) & 12(B)"
"1204","State","Yashwant Rao Chavan Maharashtra Open University","Dnyangangotri Near Gangapur Dam, Nashik,  Maharashtra(India)Gangapur Dam,Nasik-422222","422222","Maharashtra","2(f) & 12(B)"
"1205","Private","YBN University","Rajaulatu, Namkum, Ranchi-10 Ranchi","834010","Jharkhand","2(f)"
"1206","Deemed to be Universities","Yenepoya","University road, Deralaktte, Mangalore","575018","Karnataka","Section-III"
"1207","State","Yogi Vemana University","Vemana Puram,Yogi Vemana University Rd,Ganganapalle","516005","Andhra Pradesh","2(f) & 12(B)"
"1208","State","Young India Skills University","ESCI Campus, Gachibowli, Hyderabad","600032","Telangana","2(f)"
